A									
abandonment (n)	A state of being in which your physical and/or emotional needs for love, care, and support have not been met. Childhood abandonment can happen even if the parents do not physically leave the family. For example, children experience neglect, physical and emotional abuse as abandonment. This leaves them feeling rejected, unloved, and often painfully lonely, even as they grow to adulthood.				neglect, desertion, rejection 		The abandonment in my childhood started even before my father left the family. Both of my parents were too busy with work to give their children the love and attention we needed.		"BRB pp.11, 27-29, 370
YWB pp. 6, 48, 60, 82-84
SMR pp. 21, 47, 163
LLWB pp. 32, 66, 120
LPG pp. 11, 48, 101
ANH pp. 12, 28"
abandonment rupture (n) – see also S: soul rupture	The long-term damage or wound to the mind and spirit of a child who has suffered consistent abandonment from their caregivers. In adulthood, people with abandonment rupture may feel a general lack of security and self-worth that affects all areas of their lives. This includes intense fear of losing relationships. As a result of this damage, adult children also often stay in abusive or dysfunctional relationships or avoid relationships altogether.				abandonment wound, soul rupture, soul trauma		When I my wife and I decided to get divorced, I felt overwhelming pain, fear, and confusion, as if I were a small child left all alone. I now know this was my abandonment rupture.		"BRB p. 124
YWB p. 24"
abuse (n) – see also E: emotional abuse, N: neglect	"1. Cruel or violent treatment of a person. In the context of childhood, this includes physical violence such as hitting, slapping, or battering a child, and sexual abuse. It can also be emotional or verbal, and these are often just as damaging as any kind of physical harm. Neglect is also a form of abuse.
2. Uncontrolled use of a substance such as alcohol or drugs."				"1. mistreatment, assault
2. misuse"		"1. Regular abuse of any kind is very damaging to a child.
2. Alcohol abuse is sadly a problem in many families."		"1. BRB pp. 31, 28, 67-68
    YWB pp. 5, 20
     SMR pp. 58, 65
     LLWB pp. 120, 167
     LPG pp. 9, 31 
    ANH pp. 12, 38

2. BRB pp. 13, 24
    SMR p. 135
    ANH pp. 13, 39"
abuse (v) – see also V: victimize	"1. Treat with cruelty or violence, either physically, emotionally or through neglect, especially regularly or repeatedly.
2. Use something, for example prescription medication, in a way that is not intended. Use something in an uncontrolled manner."				"1. mistreat, assault, treat badly
2. misuse"		"1. A caregiver can abuse a child by hitting them, withholding food, or by neglecting their emotional needs.
2. Some people abuse prescription medication because they like how it makes them feel numb."		"1. BRB pp. 21-22, 25
    YWB pp. 5, 77 
     SMR p. 199, 302
     LPG p. 136

2. BRB pp. 59, 96
    YWB p. 4"
abuser (n) – see also S: substance abuser, V: victimizer	A person who treats another person or animal with cruelty or violence, especially repeatedly. 				victimizer, perpetrator		My violent, alcoholic father was my abuser.		"BRB p. 29 
YWB pp. 10, 26, 123
SMR pp. 7
LPG p. 52, 196"
abusive (adj)	An adjective describing physical, verbal, or emotional attacks on a person. It can also be used to describe the person who regularly attacks others in this way. 				cruel, brutal		An emotionally abusive parent may insult their child on a regular basis. Ridiculing the child’s feelings or denying that the abuse happened is also abusive behavior. 		"BRB pp.175
YWB pp. 23, 26, 108
SMR pp. 7, 136, 215, 227
LLWB p. 164
LPG pp. 35, 173
ANH pp. 14, 20, 40"
ACA (n) – see also A: ACA Fellowship	"1. An organized group of people who grew up in alcoholic/dysfunctional families and/or identify with the Laundry List traits. Members seek a healthier way of living by focusing on the family system, working the Twelve Steps, and reparenting the inner child. It is the short form of the official name of the organization Adult Children of Alcoholics/Dysfunctional Families.
2. A member of the ACA program (plural - ACAs). Someone who identifies as the adult child of an alcoholic/dysfunctional family and/or with the Laundry List traits. "				"1.association/fellowship/
support group for people who grew up in an alcoholic/dysfunctional family or situation
2. member of ACA, adult child"		"1. ACA is a 12 Step support group that teaches me to heal my childhood trauma through becoming my own loving parent.
2. I like to introduce myself in meetings as an “ACA in recovery”."		"1. BRB pp. xii, xiv, 3-4
    YWB pp. 1, 3
    SMR pp.  2, 5, 9
    LLWB pp. viii, 3, 30
    LPG pp. 3, 57, 172
    ANH pp. 6, 8, 10
2. BRB pp. 14, 57
    YWB pp. 5, 6, 11
    SMR pp. 14, 52
    LLWB pp. vii, 2
    ANH p. 29"
ACA fellowship (n) – see also A: ACA, F: fellowship	An organized group of people who grew up in alcoholic/dysfunctional families and/or identify with the Laundry List traits. Members seek a healthier way of living by focusing on the family system, working the 12 Steps, and reparenting the inner child.				association/support group for people who grew up in an alcoholic/dysfunctional family or situation		The ACA fellowship is the members of all ACA groups around the world.		"BRB pp. xxxvi, 174, 382
YWB pp. 6, 77, 90
SMR pp. 144, 282"
ACA relapse - see also R: relapse	A return to the patterns of dysfunctional thinking and behaving that were the adult child’s coping mechanisms before ACA recovery.				returning to old, dysfunctional patterns		After 2 years in recovery, I began emotionally eating again and regularly shaming myself for my feelings. I recognized this was the beginning of an ACA relapse. 		"BRB pp. 154, 347, 495
YWB pp. 72-73, 152
SMR pp. 188, 207"
actor (n)– see also R: reactor	A person who has the ability to consciously choose a healthy, emotionally sober response to a situation, instead of automatically reacting in dysfunction. The opposite of reactor.				conscious responder		An actor stops first to think about an emotionally sober way to respond to another person doing or saying something hurtful.		"BRB pp. 48-49, 224 
YWB pp. 16, 128, 159
SMR pp. 279, 366
LLWB pp. 142-143
LPG pp. 81, 103, 141
ANH pp. 68, 73"
acting-out (adj)	A kind of behavior, used to relieve pain or tension when a person is upset or unhappy. 				dysfunctional, unhealthy, emotionally intoxicated		I have many adult-child, acting out behaviors that appear when I am stressed or emotional, including isolating from people, shaming myself, and binging on TV shows to numb my pain.		"BRB p. 248
YWB p. 145
SMR p. 227
LPG p. 70
ANH p. 46"
act out (v, idiom) 	"1. Behave in unhealthy ways in order to relieve tension, or because you are unhappy or upset. These actions can be unconscious and a person may not be aware of them, especially if they are not in recovery.
2. Demonstrate or play out unexpressed emotions and memories from childhood in your behavior. This often involves exhibiting Laundry Lists traits."				"1. rely on unhealthy, dysfunctional behaviors, 
2. play out
 "		"1. Adult children can act out against themselves, for example by isolating or shaming themselves. They can also act out against other people, for example shouting at or shaming others in anger.
2. By bullying others at work, I used to act out the deep-seated fear of authority figures from my childhood – I was playing the role of my abusive father."		"1. BRB pp. 134, 154, 288
    YWB pp. 72-73, 145, 166
   SMR pp. 15, 206, 246
   LLWB pp. 3, 53
   LPG pp. 82, 84
    ANH pp. 70, 71
2. LLWB pp. vii, 16, 32, 52
    LPG pp. 12, 42, 48, 89"
action (n) 	The process of doing something to achieve a goal.				effort, steps, measures		Making an outreach call, doing step work, and attending a meeting are positive actions we can take towards recovery.		"BRB pp. 47, 49, 63
YWB pp. 3, 9, 12
SMR pp. 11, 31, 35
LLWB pp. 110
LPG pp. 3, 12, 38, 43
ANH pp. 12, 22, 40"
activity (n)	A thing (positive or negative) that a person or group does. 				action, pursuit, occupation, project, endeavor, undertaking		Going to an ACA meeting is an example of a recovery activity. Cooking, swimming, and reading are examples of everyday activities.		"BRB pp. 153, 495 
YWB pp. 41, 57, 72 
SMR pp. 85, 356
LLWB pp. 49, 76, 77 
LPG pp. 18, 51, 75"
