English,Estonian,Source,Domain,Definition_Short,Link
abandonment,ebastabiilsus,eki_skt,psychology/therapy,"eeldus, et kõik elu jooksul loodud tähtsad suhted katkevad ning sellest tulenev pidev mure hülgamise ees, the feeling that important relationships whi...",https://sonaveeb.ee/search/unif/dlall/skt/abandonment
ABCEF links,ahelanalüüsi lülid,eki_dkt,psychology/therapy,"spetsiifilise probleemkäitumiseni viinud sündmused, mõtted, emotsioonid, kehalised aistingud ning käitumised, mida kaardistatakse ahelanalüüsis",https://sonaveeb.ee/search/unif/dlall/dkt/ABCEF%20links
abortion,abort,eki_TAI,health,raseduse või tiinuse katkemine või katkestamine enne loote ellujäämisvõime saavutamist,https://sonaveeb.ee/search/unif/dlall/TAI/abortion
abortion card,raseduse katkemise või katkestamise andmekaart,eki_TAI,health,"meditsiinilisele raseduse katkemise ning katkestamise registrile esitatav andmekaart, mis täidetakse iga enne 22. (s.o kuni 21+6 kaasa arvatud) täisnä...",https://sonaveeb.ee/search/unif/dlall/TAI/abortion%20card
abortion rate,abortiivsuskordaja,eki_TAI,health,abortide arv aastakeskmise fertiilses eas (15-49aastaste) naiste kohta teatud ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/abortion%20rate
abortion ratio,abordimäär,eki_TAI,health,indutseeritud abortide arv elussündide kohta teatud ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/abortion%20ratio
abuse,hirm saada väärkoheldud,eki_skt,psychology/therapy,"eeldus, et saadakse teiste poolt kuritarvitatud, alandatud või muul moel halvasti koheldud ning sellest tulenev pidev kahtlus, et teised teevad neile ...",https://sonaveeb.ee/search/unif/dlall/skt/abuse
acceptance,(no ET term),eki_dkt,psychology/therapy,"the act of approving (signing-off) deliverables if they meet the defined acceptance criteria, tulemite heakskiitmine (nõusoleku andmine), kui need vas...",https://sonaveeb.ee/search/unif/dlall/dkt/acceptance
action plan,tegevusplaan,eki_TAI,health,"tegevuse aluseks olev kava, sellega seotud ülesanded",https://sonaveeb.ee/search/unif/dlall/TAI/action%20plan
active passivity,aktiivne passiivsus,eki_dkt,psychology/therapy,"probleemilahenduse stiil, millele on omane passiivsus endapoolsel lahenduste leidmisel ning ootused ja püüdlused, et teised inimesed võtavad probleemi...",https://sonaveeb.ee/search/unif/dlall/dkt/active%20passivity
activity,(no ET term),eki_TAI,health,"ergas, teotahteline olek",https://sonaveeb.ee/search/unif/dlall/TAI/activity
activity limitation,tegutsemispiirang,eki_TAI,health,"takistus, millega inimene ülesande või toimingu sooritamisel kokku puutub",https://sonaveeb.ee/search/unif/dlall/TAI/activity%20limitation
adaptive denial,eesmärgipärane eitamine,eki_dkt,psychology/therapy,"Järjekindel enese veenmine, et inimene ei soovi sõltuvusega kooskõlaliselt käituda, kui selleks tung tekib, või et sõltuvuskäitumine ei ole valikute h...",https://sonaveeb.ee/search/unif/dlall/dkt/adaptive%20denial
addict mind,sõltlase meel,eki_dkt,psychology/therapy,"üks kolmest meeleseisundist dialektilises käitumisteraapias, mis on seotud sõltuvuskäitumisega. Sõltlase meele seisundis on inimene sõltuvusele järele...",https://sonaveeb.ee/search/unif/dlall/dkt/addict%20mind
additional screening method,sõeluuringu lisauuring,eki_TAI,health,"sõeluuringu esmasuuringu järel tehtav uuring, millega täpsustatakse esmasuuringul avastatud patoloogiat või leidu",https://sonaveeb.ee/search/unif/dlall/TAI/additional%20screening%20method
