English,Match_Status,ET_Translation,Source,Domain,Notes,Glossary_Row
Abandonment | (This can be physical or emotional abandonment. Shaming a child is abandoning a child.),matched,ebastabiilsus,eki_skt,psychology/therapy,This can be physical or emotional abandonment. Shaming a child is abandoning a child. | (This can be...,3
About (is),unmatched,,,,is,4
Abscond (to),unmatched,,,,to,5
Abuse (v.),matched,hirm saada väärkoheldud,eki_skt,psychology/therapy,v.,7
Abuser,unmatched,,,,,8
Abusive,unmatched,,,,,9
ACA (Adult Children of Alcoholics),unmatched,,,,Adult Children of Alcoholics,10
ACA counselor,unmatched,,,,,12
ACA relapse,unmatched,,,,,13
Accountable,unmatched,,,,,14
Accustomed,unmatched,,,,,15
Aching sense,unmatched,,,,,16
Acquaintance,unmatched,,,,,17
"Act, action",unmatched,,,,,18
Acting out,unmatched,,,,,19
"Addicted to excitement | Trait 8 of The Laundry List. Examples: gossip, dramatic scenes, pending financial failure, or failing health are often the turmoil that adult children create in their lives to fee connected to reality (page 16). Also see page 23.",unmatched,,,,"page 16 | Trait 8 of The Laundry List. Examples: gossip, dramatic scenes, pending financial failure,...",20
"Addictions: switching addictions or substituting addiction (replacing one addiction for another). Addictions can include food, sex, work, gambling, alcohol/drugs.",unmatched,,,,replacing one addiction for another,24
Addictive life,unmatched,,,,,21
Addictive thinking,unmatched,,,,,22
Addictiveness,unmatched,,,,,23
Address (to) | (See page 22 of the ACA BRB: “This book will address how ACA….”),unmatched,,,,"to, See page 22 of the ACA BRB: “This book will address how ACA….” | (See page 22 of the ACA BRB: “T...",25
Addressing,unmatched,,,,,28
Admitted,unmatched,,,,,26
Admonition,unmatched,,,,,27
Adult child of an alcoholic | Definition: see pages 3 and 4 of the ACA Fellowship Text (Big Red Book). Also see editor’s note on page vii.,unmatched,,,,Big Red Book | Definition: see pages 3 and 4 of the ACA Fellowship Text (Big Red Book). Also see edi...,11
Adultery,unmatched,,,,,29
Adulthood,unmatched,,,,,30
Advocate for,unmatched,,,,,31
Affirmation,unmatched,,,,,32
Afraid of people and authority figures,unmatched,,,,,33
Against,unmatched,,,,,34
Agonize,unmatched,,,,,35
Ailment,unmatched,,,,,36
Al-Anon,unmatched,,,,,37
Alarmed,unmatched,,,,,38
Alateen(s),unmatched,,,,s,39
Alcoholic or dysfunctional home,unmatched,,,,,40
Alienated (to be),unmatched,,,,to be,41
All or nothing,unmatched,,,,,42
Altogether,unmatched,,,,,43
Amazed,unmatched,,,,,44
Amazing,unmatched,,,,,45
Amends (to make),unmatched,,,,to make,48
Amused/Amusement,unmatched,,,,,49
Anger,unmatched,,,,,50
Anguished,unmatched,,,,,51
Annual Business Conference,unmatched,,,,,52
Apologize (to),unmatched,,,,to,53
Approval (to seek --),unmatched,,,,to seek --,54
Argument,unmatched,,,,,55
Array,unmatched,,,,,56
As children,unmatched,,,,,57
As said,unmatched,,,,,58
Ashamed,unmatched,,,,,59
Assertive,unmatched,,,,,60
Asset,unmatched,,,,,61
Astonished,unmatched,,,,,62
At some point,unmatched,,,,,63
At the core,unmatched,,,,,64
At times,unmatched,,,,,65
Attachment,unmatched,,,,,66
Attend (to),unmatched,,,,to,67
Attendance,unmatched,,,,,68
Attitude of neutrality,unmatched,,,,,69
Attributes,unmatched,,,,,70
Awakening,unmatched,,,,,71
Awareness,unmatched,,,,,72
Awe,unmatched,,,,,73
Awful,unmatched,,,,,74
Axiom,unmatched,,,,,75
Baffling,unmatched,,,,,77
Balk (to),unmatched,,,,to,78
Bankruptcy,unmatched,,,,,79
Battery,unmatched,,,,,80
Becoming your own Loving Parent,unmatched,,,,,81
Befall,unmatched,,,,,82
Beg (I – you),unmatched,,,,I – you,83
Behave,unmatched,,,,,85
Behavior,matched,käitumine,eki_dkt,psychology/therapy,,84
Believe (to),unmatched,,,,to,86
Belittled,unmatched,,,,,87
Bellow (to),unmatched,,,,to,88
Bereavement,unmatched,,,,,89
Best course,unmatched,,,,,90
Betrayed,unmatched,,,,,91
Beyond recall,unmatched,,,,,92
Bias (it is my),unmatched,,,,it is my,93
Bid farewell (to – to),unmatched,,,,to – to,94
Big deal (no),unmatched,,,,no,95
Binging,unmatched,,,,,96
Black and white (thinking),unmatched,,,,thinking,97
Black sheep,unmatched,,,,,98
Blatant,unmatched,,,,,100
Blatantly,unmatched,,,,,101
Bliss,unmatched,,,,,103
Blistering,unmatched,,,,,104
Blossomed,unmatched,,,,,105
Bludgeoned (to be --),unmatched,,,,to be --,106
Blunt,unmatched,,,,,107
Boggle (to),unmatched,,,,to,108
Bogus,unmatched,,,,,109
Bold,unmatched,,,,,110
Bottom (to hit the --),unmatched,,,,to hit the --,111
Bottom out (to),unmatched,,,,to,112
Branch,unmatched,,,,,113
Break free (to),unmatched,,,,to,114
Break out (to),unmatched,,,,to,115
Breather (n.),unmatched,,,,n.,116
Breed (v.),unmatched,,,,v.,118
Broaden (to),unmatched,,,,to,119
Browbeat,unmatched,,,,,120
Bruised,unmatched,,,,,121
Budge,unmatched,,,,,122
Bulwarks,unmatched,,,,,123
Bump,unmatched,,,,,124
Burden,unmatched,,,,,125
Burst (n.),unmatched,,,,n.,126
Cajole (to),unmatched,,,,to,128
Caregivers,unmatched,,,,,129
Centerpiece,unmatched,,,,,130
Central Service Board,unmatched,,,,,131
CEO (chief executive officer),unmatched,,,,chief executive officer,158
Chairman,unmatched,,,,,132
Challenge (to),unmatched,,,,to,133
Character trait,unmatched,,,,,134
Chase (to),unmatched,,,,to,135
Chat (to – online),unmatched,,,,to – online,136
Checklist,unmatched,,,,,137
Cheerful,unmatched,,,,,138
Cheerleader,unmatched,,,,,139
Chemically addicted,unmatched,,,,,140
Child within (the),unmatched,,,,the,141
Childbirth,unmatched,,,,,142
"Childhood neglect | Neglect can involve denial of food, safety and nutrition in childhood. | Covert neglect can involve favoritism of one sibling over another. There is also neglect in hatefulness, comparing one child with another, or withholding praise. Perfectionism in which a child can never reach a parent’s idea of behavior or performance is covert neglect. | (See pages 27-34 of ACA BRB.)",unmatched,,,,"See pages 27-34 of ACA BRB. | Neglect can involve denial of food, safety and nutrition in childhood....",143
"Childhood trauma | (See index of ACA BRB.) | Childhood trauma can involve physical abuse such as hitting, slapping, sexual abuse or battering a child. Or it can be verbal abuse such as threats of hitting or cursing, shaming comments, comparing, chronic hatefulness. | Childhood trauma can also involve denial of food, safety, and proper nutrition without physical or verbal abuse involved. | (See pages 27-30 of ACA BRB.)",unmatched,,,,"See index of ACA BRB., See pages 27-30 of ACA BRB. | (See index of ACA BRB.) | Childhood trauma can ...",144
Chronic,unmatched,,,,,145
Claim (to) | (See page xx of the ACA BRB: “… needed their own claim….”),unmatched,,,,"to, See page xx of the ACA BRB: “… needed their own claim….” | (See page xx of the ACA BRB: “… neede...",146
Clarity,unmatched,,,,,147
Clean (v.),unmatched,,,,v.,151
Clear (to – up the wreckage of the past),unmatched,,,,to – up the wreckage of the past,152
Cling (to – to something),unmatched,,,,to – to something,153
Closemindedness,unmatched,,,,,154
Co alcoholic,unmatched,,,,,155
Codependence | (See page 335 in the ACA BRB.),unmatched,,,,See page 335 in the ACA BRB. | (See page 335 in the ACA BRB.),156
Codependent,unmatched,,,,,157
Coerced,unmatched,,,,,159
Collapse,unmatched,,,,,160
Common behaviors,unmatched,,,,,161
Commonality,unmatched,,,,,162
Compel (to),unmatched,,,,to,163
Compulsivity,unmatched,,,,,164
Conflict,unmatched,,,,,165
Connected,unmatched,,,,,166
Connection,unmatched,,,,,167
Consistent,unmatched,,,,,168
Contempt,unmatched,,,,,169
Continuum,unmatched,,,,,170
Conversely,unmatched,,,,,171
Cope (to),unmatched,,,,to,172
Core (of the issue),unmatched,,,,of the issue,174
Counseling,unmatched,,,,,177
Counselor (informed),unmatched,,,,informed,176
Course,unmatched,,,,,178
Cover,unmatched,,,,,179
Covert,unmatched,,,,,180
Cowed,unmatched,,,,,181
Crave (to),unmatched,,,,to,182
Crazy,unmatched,,,,,183
Cringe (to),unmatched,,,,to,184
Crippling,unmatched,,,,,185
Critical inner parent,unmatched,,,,,186
Critical inner voice,unmatched,,,,,187
Critical parent | (See chapter 8 of the ACA BRB.),unmatched,,,,See chapter 8 of the ACA BRB. | (See chapter 8 of the ACA BRB.),188
"Critical survival parent | This is a part of ourselves that tells us we may be making a mistake. Since the critical survival parent may have helped us to stay alive, it is critical (necessary) to our survival. | (See “To the Beginner in All of Us” trifold and page 121 of The Laundry Lists Workbook.)",unmatched,,,,"necessary, See “To the Beginner in All of Us” trifold and page 121 of The Laundry Lists Workbook. | ...",189
Criticism,unmatched,,,,,190
Cross talk,unmatched,,,,,191
Cruising,unmatched,,,,,192
Cue,unmatched,,,,,193
Cunning,unmatched,,,,,194
Curse,unmatched,,,,,195
Cursed,unmatched,,,,,196
Cursing,unmatched,,,,,197
Daunting,unmatched,,,,,199
Deadened,unmatched,,,,,200
Deal (to – with),unmatched,,,,to – with,201
Deep-tissue massage,unmatched,,,,,202
Defect,unmatched,,,,,203
Defective,unmatched,,,,,204
Defiance,unmatched,,,,,205
Demeanor,unmatched,,,,,206
Dementia,unmatched,,,,,207
Denial (to be in --),unmatched,,,,to be in --,209
Deprivation,unmatched,,,,,210
Deserve,unmatched,,,,,211
Despair,unmatched,,,,,212
Despite,unmatched,,,,,213
Detachment,unmatched,,,,,214
Devastating,unmatched,,,,,215
Disappointed,unmatched,,,,,216
Disbelief,unmatched,,,,,217
Disclose,unmatched,,,,,218
Disconnection,unmatched,,,,,219
Discovery and recovery,unmatched,,,,,220
Discussion,unmatched,,,,,221
Disdain,unmatched,,,,,222
Disease,unmatched,,,,,223
Disease of family addiction | (See disease model on page xxvi of the ACA BRB.),unmatched,,,,See disease model on page xxvi of the ACA BRB. | (See disease model on page xxvi of the ACA BRB.),224
Disgraceful,unmatched,,,,,225
Dishonesty,unmatched,,,,,226
Dismissive,unmatched,,,,,227
Disorder,unmatched,,,,,228
Dissociation,unmatched,,,,,229
Distorted (image),unmatched,,,,image,230
Divided self (the),unmatched,,,,the,231
Divine (the),unmatched,,,,the,232
Doctor (Dr.),unmatched,,,,Dr.,237
Dole (to – out),unmatched,,,,to – out,233
Don’t remember rule,unmatched,,,,,234
Doom (n.),unmatched,,,,n.,235
Doomed,unmatched,,,,,236
Downright,unmatched,,,,,238
Dramatic,unmatched,,,,,239
Dread,unmatched,,,,,240
Dredge (to – up),unmatched,,,,to – up,241
Drive (to be driven by),unmatched,,,,to be driven by,242
Drug,unmatched,,,,,243
Drug addict,unmatched,,,,,244
Dwell (to),unmatched,,,,to,245
Dwindle,unmatched,,,,,246
Dysfunction (family --),unmatched,,,,family --,248
Dysfunctional,unmatched,,,,,247
Eager,unmatched,,,,,250
Earnestly,unmatched,,,,,251
Earnestness,unmatched,,,,,252
Easy does it,unmatched,,,,,253
Education,unmatched,,,,,254
Educational,unmatched,,,,,255
Effects,unmatched,,,,,256
"Elder, Elder statesman",unmatched,,,,,257
Embodiment,unmatched,,,,,262
Embrace,unmatched,,,,,258
Emotional abuse,unmatched,,,,,259
Emotional sobriety,unmatched,,,,,260
Empowered,unmatched,,,,,261
Enable (to),unmatched,,,,to,263
Engulfed,unmatched,,,,,264
Enmeshed,unmatched,,,,,265
Entangled,unmatched,,,,,268
Entertainment,unmatched,,,,,266
Enthralled,unmatched,,,,,267
Envy,unmatched,,,,,269
Evil (n.),unmatched,,,,n.,271
Exhaustion,unmatched,,,,,272
Explain away (to),unmatched,,,,to,273
Exposed,unmatched,,,,,274
Extent,unmatched,,,,,275
Face (to),unmatched,,,,to,277
Failure,matched,(definition only),eki_skt,psychology/therapy,,278
Fairly,unmatched,,,,,279
Fairness,unmatched,,,,,280
Faithful,unmatched,,,,,281
Fall short (to),unmatched,,,,to,282
Fallout (fall out),unmatched,,,,fall out,283
False self | (See index of the ACA BRB for examples of this term.),unmatched,,,,See index of the ACA BRB for examples of this term. | (See index of the ACA BRB for examples of this...,284
Family roles | (See pages 97 and 98 of the ACA BRB.),unmatched,,,,See pages 97 and 98 of the ACA BRB. | (See pages 97 and 98 of the ACA BRB.),285
Family script,unmatched,,,,,286
Fantasy,unmatched,,,,,287
Fashion (in),unmatched,,,,in,288
Fearless,unmatched,,,,,289
Feeling self (the),unmatched,,,,the,290
Feeling superior,unmatched,,,,,291
Feelings,unmatched,,,,,292
Fellow traveler,unmatched,,,,,294
Fellowship,unmatched,,,,,293
Fictionalize (to),unmatched,,,,to,295
First things first,unmatched,,,,,296
Fit,unmatched,,,,,297
Fits (throwing),unmatched,,,,throwing,298
Fix (to – another) | To touch or hug the person is known as “fixing”.,unmatched,,,,to – another | To touch or hug the person is known as “fixing”.,299
Flaw,unmatched,,,,,300
Flawed (to be --),unmatched,,,,to be --,301
Fledgling,unmatched,,,,,302
Flourish (to),unmatched,,,,to,303
Focus (to – on),unmatched,,,,to – on,304
Forethought,unmatched,,,,,305
Forgiveness,unmatched,,,,,306
Forth,unmatched,,,,,307
Foster children,unmatched,,,,,308
Foundling (home),unmatched,,,,home,309
Fragmented,unmatched,,,,,310
Frantic,unmatched,,,,,311
Fraught,unmatched,,,,,312
Freeze (to),unmatched,,,,to,313
Friendliness,unmatched,,,,,314
Frightening,unmatched,,,,,315
Fruit,unmatched,,,,,316
Fulfill,unmatched,,,,,317
Full,unmatched,,,,,318
Fury,unmatched,,,,,319
Gambling,unmatched,,,,,321
Gateway,unmatched,,,,,322
Gentleness,unmatched,,,,,323
Gentleness break,unmatched,,,,,324
Genuine,unmatched,,,,,325
Get out of yourself (oneself) (to),unmatched,,,,"oneself, to",326
Getcha God,unmatched,,,,,327
Getting in (our bodies),unmatched,,,,our bodies,328
Gift,unmatched,,,,,329
Giggly,unmatched,,,,,330
